Book|Page|Subject|Predicate|Object
A Dance With Dragons|574|Singers sang|ancient love songs in the|incomprehensible tongue of Old Ghis
A Dance With Dragons|577|Prince Quentyn|imprisoned|Daario
A Dance With Dragons|593|Jeyne|is the half-sister of|Jon Snow
A Dance With Dragons|593|Robb|is the brother of|Bran
A Dance With Dragons|593|Robb|is the brother of|Rickon
A Dance With Dragons|593|Rickon|is the brother of|Robb
A Dance With Dragons|621|Jon Snow|is the son of|Eddard Stark
A Dance With Dragons|625|Cersei Lannister|was imprisoned in|cell in Great Sept of Baelor
A Dance With Dragons|627|Cersei Lannister|son|lord father
A Dance With Dragons|628|Cersei|denied that her children were not fathered by King Robert|who was killed by a boar
A Dance With Dragons|633|Cersei|is just a child|my precious princess
A Dance With Dragons|669|Tormund Giantsbane|has two remaining sons|Toregg and Dryn
A Dance With Dragons|670|Soren Shieldbreaker|father of|[Tall lad]
A Dance With Dragons|670|Gerrick Kingsblood|father of|[Lad with red hair]
A Dance With Dragons|670|Raymun Redbeard|father of|[One of Redbeard’s little brothers]
A Dance With Dragons|670|Harle the Huntsman|father of|[One twin]
A Dance With Dragons|670|Harle the Handsome|father of|[Other twin]
A Dance With Dragons|670|Alfy n Crowkiller|father of|[Three half brothers]
A Dance With Dragons|670|Varamyr Sixskins|father of|[Whelp of Varamyr]
A Dance With Dragons|671|Tormund Giantstink|is the father of|Dryn
A Dance With Dragons|672|Gerrick Kingsblood|has daughters with red hair|three princesses
A Dance With Dragons|679|tall Ghisca ri in a brocade robe spoke next|in a voice as sonorous as it was cold. King Hizdahr shifted on his dragon throne|his face stony as he did his best to appear concerned but unperturbed.
A Dance With Dragons|699|Elia|bore children to|Rhaegar Targaryen
A Dance With Dragons|699|Connington|will be the father-in-law of|Aegon Targaryen
A Dance With Dragons|731|Queen|on the last night of her imprisonment|could not sleep
A Dance With Dragons|774|Goldeneyes|is the father of|Quentyn
A Dance With Dragons|791|Marselen of|Mother’s Men|is present
A Dance With Dragons|809|Dany|is Mother of Dragons|dragons
A Dance With Dragons|809|Dany|turned against children|children
A Dance With Dragons|819|Kevan Lannister|told his good -father|no faith in Myrish bankers
A Dance With Dragons|819|Kevan Lannister|told his good -father|should send Cersei to Braavos?
A Dance With Dragons|827|Tywin Lanister|is the father of|Tyrion Lannister
A Dance With Dragons|827|Tywin Lanister|is the grandfather of|Ser Cleos Frey
A Dance With Dragons|827|Tywin Lanister|is the father of|Ser Lancel Lannister
A Dance With Dragons|827|Tywin Lanister|is the father of|Willym
A Dance With Dragons|827|Tywin Lanister|is the father of|Martyn
A Dance With Dragons|827|Tywin Lanister|is the father of|Janei
A Dance With Dragons|833|Alayaya|daughter of|Chataya
A Dance With Dragons|835|MANCE RAYDER|is the in the fant son|“the wildling prince”
A Dance With Dragons|843|MYRA STONE|is a bastard daughter of|King Robert
A Dance With Dragons|843|SER LUCAS CORBRAY|is younger brother of|SER LYN COBRAY
A Dance With Dragons|844|Ser Morton|is the eldest son and heir of|Ser Godric Borrell
A Dance With Dragons|844|Wallace|is the youngest son of|Ser Godric Borrell
A Dance With Dragons|848|Andrew Estermont|is son of|Lomas Estermont
A Dance With Dragons|850|SER RICHARD MORRIGEN|is his brother to|SER GUYARD MORRIGEN
A Dance With Dragons|850|SER RICHARD MORRIGEN|is his brother to|SER ORMUND WYLDE
A Dance With Dragons|852|Ser Emmon Frey|has as his son|Aenys Frey
A Dance With Dragons|852|Aenys Frey|has as a son|Aegon Bloodborne
A Dance With Dragons|852|Aenys Frey|has as a son|Rhaegar
A Dance With Dragons|852|Symond Frey|is the seventh son of|Hosteen Frey
A Dance With Dragons|854|Frey|is Walder's fifteenth son|Ser Perwyn Frey
A Dance With Dragons|854|Frey|is Walder's sixteenth son|Ser Benfrey Frey
A Dance With Dragons|854|Frey|is Walder's eighteenth son|Olyvar Frey
A Dance With Dragons|854|Frey|has a sixth daughter|Arwyne
A Dance With Dragons|854|Frey|has a nineteenth son|Wendel
A Dance With Dragons|858|Tyrek Hayford|is the child father of|Gerion Lanister
A Dance With Dragons|861|Elia|is a sister of|Doran Martell
A Dance With Dragons|862|Ellaria Sand|natural daughter of Lord Harmen Uller|his paramour
A Dance With Dragons|867|Jon Snow|is an aunt’s son of|Lysa Arryn
A Dance With Dragons|871|SER JORAH MORMONT|is a son of|JEOR MORMONT
A Dance With Dragons|871|MEERA|is a child of|JYANA
A Dance With Dragons|871|JOJEN|is a son of|ALYSANE
A Dance With Dragons|872|BENFRED|was son and heir of|SER HELMAN TALLHART
A Dance With Dragons|875|Brynden|son and heir of|Robin Ryger
A Dance With Dragons|875|Lucas|son of|Robin Ryger
A Dance With Dragons|875|Hoster|son of|Robin Ryger
A Dance With Dragons|875|Edmund|son of|Robin Ryger
A Dance With Dragons|875|Alyn|son of|Robin Ryger
A Dance With Dragons|875|Bethany|daughter of|Robin Ryger
A Dance With Dragons|875|Robert|son of|Robin Ryger
A Dance With Dragons|876|PATREK|is the son of|JASON MALLISTER
A Dance With Dragons|876|SER MARQ PIPER|is the son and heir of|CLEMENT PIPER
A Dance With Dragons|877|Willas|their eldest son|heir to Highgarden
A Dance With Dragons|878|SER LORAS|is their youngest son of|House Tyrell
A Dance With Dragons|878|MARGAERY|is their daughter of|House Tyrell
A Dance With Dragons|881|Jon Snow|is the Bastard of|Winterfell
A Dance With Dragons|886|Halldrak|brother of|The Weeper
A Dance With Dragons|886|Sigorn|son of|Styr
A Dance With Dragons|886|One Eye|is the brother of|Bump
A Dance With Dragons|886|Haggon|foster father of|One Eye
A Dance With Dragons|890|Arya|is the daughter of|Eddard Stark
A Dance With Dragons|892|GROAT|is brother to Penny|a dwarf mummer who was murdered and beheaded
A Dance With Dragons|895|Danyys|is the daughter of|Rhaegar
A Dance With Dragons|895|Aegon|is the son of|Danyys
A Dance With Dragons|895|Viserys|is the brother of|Danyys
A Dance With Dragons|895|Rhaejo|was the stillborn son of|Danyys and Drogo
A Dance With Dragons|898|NAATHI|are children of the pyramids of|Meereens
